Reg no,1. Name of national platform or if regional* (Choose from drop-down menu),2. Name of facility* (Choose from drop-down menu),3. DOI number - Prioritized identification of publication*,"4a. If no DOI number exists, report other publication identification number and type (e.g. PMID, PMCID, Manuscript ID)","4b. If no DOI number exists, Report Journal impact factor 2015",5. Type of publication (Choose from drop-down menu)*,"Registered by*
Please write your email address",ISSN,Title,Authors,Journal,
201,Drug Discovery and Development,N/A,10.1016/j.drudis.2016.06.026,,5.625,Technology development,Per.Arvidsson@scilifelab.se,1359-6446,Open for collaboration: an academic platform for drug discovery and development ...,"Arvidsson PI, Sandberg K, Forsberg-Nilsson K",DRUG DISCOV TODAY,27373760
202,Drug Discovery and Development,Medicinal Chemistry – Lead Identifaction,10.1016/j.tetlet.2016.02.071,,2.347,Collaborative,ulrika.yngve@scilifelab.uu.se,0040-4039,Rapid and straightforward transesterification of sulfonyl carbamates,"Isaksson R, Kumpiņa I, ..., Wannberg J",TETRAHEDRON LETT,
203,Drug Discovery and Development,N/A,10.1021/acs.chemrev.6b00156,,37.369,Collaborative,Per.Arvidsson@scilifelab.se,0009-2665 1520-6890,Enantioselective Organocatalyzed Transformations of β-Ketoesters,"Govender T, Arvidsson PI, ..., Naicker T",CHEM REV,27463615
204,Drug Discovery and Development,Biophysical Screening and Characterization,10.1021/acs.jmedchem.5b01723,,5.589,Collaborative,annette.roos@icm.uu.se,0022-2623 1520-4804,"Kinetically Selective Inhibitors of Human Carbonic Anhydrase Isozymes I, II, VII...","Talibov VO, Linkuvienė V, ..., Danielson UH",J MED CHEM,26805033
205,Drug Discovery and Development,Medicinal Chemistry – Hit2Lead,10.1021/acs.jmedchem.6b01009,,5.589,Collaborative,ylva.gravenfors@scilifelab.se,0022-2623 1520-4804,The Oncolytic Efficacy and in Vivo Pharmacokinetics of [2-(4-Chlorophenyl)quinol...,"Hammarström LGJ, Harmel RK, ..., Ernfors P",J MED CHEM,
206,Drug Discovery and Development,N/A,10.1021/acs.joc.5b02770,,4.785,Collaborative,Per.Arvidsson@scilifelab.se,0022-3263 1520-6904,On-Water Synthesis of Biaryl Sulfonyl Fluorides,"Chinthakindi PK, Kruger HG, ..., Arvidsson PI",J ORG CHEM,26900892
207,Drug Discovery and Development,Medicinal Chemistry – Lead Identifaction,10.1021/acs.oprd.5b00323,,2.922,Collaborative,ulrika.yngve@scilifelab.uu.se,1083-6160 1520-586X,Microwave Promoted Transcarbamylation Reaction of Sulfonylcarbamates under Conti...,"Kumpiņa I, Isaksson R, ..., Larhed M",ORG PROCESS RES DEV,
208,Drug Discovery and Development,Biophysical Screening and Characterization,10.1038/nrd.2016.123,,47.12,Technology development,annette.roos@icm.uu.se,1474-1776 1474-1784,"Biophysics in drug discovery: impact, challenges and opportunities","Renaud J, Chung C, ..., Nar H",NAT REV DRUG DISCOV,27516170
209,Drug Discovery and Development,N/A,10.1055/s-0035-1561573,,2.323,Collaborative,Per.Arvidsson@scilifelab.se,0936-5214 1437-2096,An Efficient Protecting-Group-Free Synthesis of Vinylic Sulfoximines via Horner–...,"Naicker T, Arvidsson P, ..., Kruger H",SYNLETT,
210,Drug Discovery and Development,N/A,10.1055/s-0035-1561970,,2.323,Collaborative,Per.Arvidsson@scilifelab.se,0936-5214 1437-2096,A Facile Synthesis of NODASA-Functionalized Peptide,"Naicker T, Albericio F, ..., Govender T",SYNLETT,
211,Drug Discovery and Development,Human Antibody Therapeutics,10.1093/protein/gzw042,,2.364,Collaborative,helena.persson@scilifelab.se,1741-0126 1741-0134,Generation and analyses of human synthetic antibody libraries and their applicat...,"Säll A, Walle M, ..., Persson H",PROTEIN ENG DES SEL,27590051
212,Drug Discovery and Development,N/A,10.1111/sji.12479,,2.27,Collaborative,Per.Arvidsson@scilifelab.se,0300-9475,Tryptophan Metabolism Along the Kynurenine Pathway Downstream of Toll-like Recep...,"Orhan F, Bhat M, ..., Schwieler L",SCAND J IMMUNOL,
213,Drug Discovery and Development,Medicinal Chemistry – Hit2Lead,10.1158/0008-5472.CAN-16-1476,,8.556,Collaborative,ylva.gravenfors@scilifelab.se,0008-5472 1538-7445,Crystal structure of the emerging cancer target MTHFD2 in complex with a substra...,"Gustafsson R, Jemth A, ..., Stenmark P",CANCER RES,
214,Drug Discovery and Development,N/A,10.17159/0379-4350/2016/v69a9,,Kan inte hitta,Collaborative,Per.Arvidsson@scilifelab.se,1996-840X,Organocatalyzed Mannich reactions on minocycline: Towards novel tetracycline ant...,"CHIWUNZE TE, Azumah R, ..., Naicker T",,
215,Drug Discovery and Development,Biochemical and Cellular Screening,10.18632/oncotarget.12298,,5.008,Collaborative,bo.lundgren@scilifelab.se,1949-2553,Case-specific potentiation of glioblastoma drugs by pterostilbene,"Schmidt L, Baskaran S, ..., Nelander S",ONCOTARGET,27689322
216,Drug Discovery and Development,N/A,10.3892/ijmm.2016.2681,,2.348,Collaborative,Per.Arvidsson@scilifelab.se,1107-3756 1791-244X,"The peroxisome proliferator-activated receptorï¿½α agonist, AZD4619, induces ala...","Thulin P, Bamberg K, ..., Glinghammar B",INT J MOL MED,27430334
217,Drug Discovery and Development,N/A,10.3998/ark.5550190.p009.462,,Kan inte hitta,Collaborative,Per.Arvidsson@scilifelab.se,1551-7012,Stereoselective synthesis towards unnatural proline based amino acids,,,
218,Functional Genomics,Eukaryotic Single Cell Genomics,10.1016/j.cmet.2016.08.020,,17.303,Service,karolina.wallenborg@ki.se,1550-4131,Single-Cell Transcriptome Profiling of Human Pancreatic Islets in Health and Typ...,"Segerstolpe Å, Palasantza A, ..., Sandberg R",CELL METAB,27667667
219,Functional Genomics,Karolinska High Throughput Center (KHTC),10.1021/acsami.6b06823,,7.145,Service,Jianping.liu@ki.se,1944-8244 1944-8252,Multifunctional Hyaluronic Acid and Chondroitin Sulfate Nanoparticles: Impact of...,"Oommen OP, Duehrkop C, ..., Varghese OP",ACS APPL MATER INTER,27468113
220,Functional Genomics,Karolinska High Throughput Center (KHTC),10.1038/srep29317,,5.228,Service,Jianping.liu@ki.se,2045-2322,Rosette-Disrupting Effect of an Anti-Plasmodial Compound for the Potential Treat...,"Ch’ng J, Moll K, ..., Wahlgren M",SCI REP-UK,
221,Functional Genomics,Karolinska High Throughput Center (KHTC),10.1039/c5cc09215a,,6.567,Service,Jianping.liu@ki.se,1359-7345 1364-548X,Chondroitin sulfate coated gold nanoparticles: a new strategy to resolve multidr...,"Gurav D, Varghese OP, ..., Oommen OP",CHEM COMMUN,26587574
222,Functional Genomics,Karolinska High Throughput Center (KHTC),10.1039/c6bm00335d,,3.614,Service,Jianping.liu@ki.se,2047-4830 2047-4849,Chondroitin sulfate derived theranostic nanoparticles for targeted drug delivery,"Varghese OP, Liu J, ..., Oommen OP",BIOMATER SCI-UK,27431007
223,Functional Genomics,Microbial Single Cell Genomics,10.1186/s12864-016-2815-y,,3.867,Technology development,anna-maria.divne@icm.uu.se,1471-2164,Cryptosporidium as a testbed for single cell genome characterization of unicellu...,"Troell K, Hallström B, ..., Bertilsson S",BMC GENOMICS,27338614
224,Functional Genomics,Single Cell Proteomics,10.1186/s13059-016-1045-6,,5.64,Technology development,caroline.gallant@igp.uu.se,1474-760X,"Multiplexed, targeted profiling of single-cell proteomes and transcriptomes in a...","Genshaft AS, Li S, ..., Shalek AK",,27640647
225,Functional Genomics,Microbial Single Cell Genomics,10.1186/s40168-016-0197-7,,9,Technology development,thijs.ettema@icm.uu.se,2049-2618,Picodroplet partitioned whole genome amplification of low biomass samples preser...,"Hammond M, Homa F, ..., Joensson HN",MICROBIOME,
226,Metabolomics,Swedish Metabolomics Centre,10.1002/cppb.20028,,?,Service,jonas.gullberg@slu.se,,Quantitative Auxin Metabolite Profiling Using Stable Isotope Dilution UHPLC-MS/MS,"Novák O, Pěnčík A, ..., Ljung K",,
227,Metabolomics,Swedish Metabolomics Centre,10.1007/s00296-016-3426-2,,1.702,Service,jonas.gullberg@slu.se,0172-8172 1437-160X,Metabolomics study of fatigue in patients with rheumatoid arthritis naïve to bio...,"Surowiec I, Gjesdal CG, ..., Omdal R",RHEUMATOL INT,26803313
228,Metabolomics,Swedish Metabolomics Centre,10.1007/s11104-016-2896-z,,2.969,Service,jonas.gullberg@slu.se,0032-079X 1573-5036,Direct acquisition of organic N by white clover even in the presence of inorganic N,"Czaban W, Jämtgård S, ..., Fomsgaard IS",PLANT SOIL,
229,Metabolomics,Swedish Metabolomics Centre,10.1007/s11306-015-0933-1,,3.661,Service,jonas.gullberg@slu.se,1573-3882 1573-3890,Tissue sample stability: thawing effect on multi-organ samples,"Torell F, Bennett K, ..., Lundstedt T",METABOLOMICS,
230,Metabolomics,Swedish Metabolomics Centre,10.1007/s11306-016-1120-8,,3.661,Service,jonas.gullberg@slu.se,1573-3882 1573-3890,Loss of ncm5 and mcm5 wobble uridine side chains results in an altered metabolic...,"Karlsborn T, Mahmud AKMF, ..., Byström AS",METABOLOMICS,
231,Metabolomics,Swedish Metabolomics Centre,10.1007/s12032-015-0717-5,,2.486,Service,jonas.gullberg@slu.se,1357-0560 1559-131X,Increased lanosterol turnover: a metabolic burden for daunorubicin-resistant leu...,"Stäubert C, Krakowsky R, ..., Nordström A",MED ONCOL,26698156
232,Metabolomics,Swedish Metabolomics Centre,10.1016/j.aca.2015.12.009,,4.712,Service,jonas.gullberg@slu.se,0003-2670,Postprandial metabolomics: A pilot mass spectrometry and NMR study of the human ...,"Karimpour M, Surowiec I, ..., Nording ML",ANAL CHIM ACTA,26826694
233,Metabolomics,Swedish Metabolomics Centre,10.1016/j.bbrc.2016.08.155,,2.371,Service,jonas.gullberg@slu.se,0006-291X,Overlap in serum metabolic profiles between non-related diseases: Implications f...,"Lindahl A, Forshed J, Nordström A",BIOCHEM BIOPH RES CO,27581198
234,Metabolomics,Swedish Metabolomics Centre,10.1016/j.cell.2015.12.018,,28.71,Service,jonas.gullberg@slu.se,0092-8674,Cryptochromes Interact Directly with PIFs to Control Plant Growth in Limiting Bl...,"Pedmale UV, Huang SC, ..., Chory J",CELL,
235,Metabolomics,Swedish Metabolomics Centre,10.1016/j.neo.2016.01.007,,4.509,Service,jonas.gullberg@slu.se,1476-5586,Rat Prostate Tumor Cells Progress in the Bone Microenvironment to a Highly Aggre...,"Bergström SH, Rudolfsson SH, Bergh A",NEOPLASIA,26992916
236,Metabolomics,Swedish Metabolomics Centre,10.1016/j.prostaglandins.2015.11.002,,2.905,Service,jonas.gullberg@slu.se,1098-8823,"Oxylipins, endocannabinoids, and related compounds in human milk: Levels and eff...","Wu J, Gouveia-Figueira S, ..., Nording ML",PROSTAG OTH LIPID M,26656029
237,Metabolomics,Swedish Metabolomics Centre,10.1038/nchembio.2227,,12.709,Service,jonas.gullberg@slu.se,1552-4450 1552-4469,A multi-step peptidolytic cascade for amino acid recovery in chloroplasts,"Teixeira PF, Kmiec B, ..., Glaser E",NAT CHEM BIOL,27820795
238,Metabolomics,Swedish Metabolomics Centre,10.1039/c5mb00711a,,2.829,Service,jonas.gullberg@slu.se,1742-206X 1742-2051,Multi-platform mass spectrometry analysis of the CSF and plasma metabolomes of r...,"Wuolikainen A, Jonsson P, ..., Trupp M",MOL BIOSYST,26883206
239,Metabolomics,Swedish Metabolomics Centre,10.1073/pnas.1604375113,,9.423,Service,jonas.gullberg@slu.se,0027-8424 1091-6490,Dioxygenase-encodingAtDAO1gene controls IAA oxidation and homeostasis inArabidopsis,"Porco S, Pěnčík A, ..., Ljung K",P NATL ACAD SCI USA,
240,Metabolomics,Swedish Metabolomics Centre,10.1089/bio.2015.0092,,1.804,Service,jonas.gullberg@slu.se,1947-5535 1947-5543,Metabolomic Quality Assessment of EDTA Plasma and Serum Samples,"Malm L, Tybring G, ..., Galli J",BIOPRESERV BIOBANK,27348730
241,Metabolomics,Swedish Metabolomics Centre,10.1093/jxb/erw030,,5.677,Service,jonas.gullberg@slu.se,0022-0957 1460-2431,Reduced mitochondrial malate dehydrogenase activity has a strong effect on photo...,"Lindén P, Keech O, ..., Moritz T",J EXP BOT,26889011
242,Metabolomics,Swedish Metabolomics Centre,10.1104/pp.16.01318,,6.28,Service,jonas.gullberg@slu.se,0032-0889 1532-2548,Central Metabolic Responses to Ozone and Herbivory Affect Photosynthesis and Sto...,"Papazian S, Khaling E, ..., Albrectsen BR",PLANT PHYSIOL,27758847
243,Metabolomics,Swedish Metabolomics Centre,10.1104/pp.16.01463,,6.28,Service,jonas.gullberg@slu.se,0032-0889 1532-2548,Dissecting the Metabolic Role of Mitochondria during Developmental Leaf Senescence,"Chrobok D, Law SR, ..., Keech O",PLANT PHYSIOL,27744300
244,Metabolomics,Swedish Metabolomics Centre,10.1105/tpc.16.01057,,8.538,Service,jonas.gullberg@slu.se,1040-4651 1532-298X,The Effects of High Steady State Auxin Levels on Root Cell Elongation in Brachyp...,"Pacheco-Villalobos D, Díaz-Moreno SM, ..., Hardtke CS",PLANT CELL,
245,Metabolomics,Swedish Metabolomics Centre,10.1146/annurev-arplant-043014-114648,,22.131,Service,jonas.gullberg@slu.se,1543-5008 1545-2123,TOR Signaling and Nutrient Sensing,"Dobrenel T, Caldana C, ..., Meyer C",ANNU REV PLANT BIOL,26905651
246,Metabolomics,Swedish Metabolomics Centre,10.1158/0008-5472.CAN-15-2910,,8.556,Service,jonas.gullberg@slu.se,0008-5472 1538-7445,Estrogen Receptor   Promotes Breast Cancer by Reprogramming Choline Metabolism,"Jia M, Andreassen T, ..., Dahlman-Wright K",CANCER RES,27457520
247,Metabolomics,Swedish Metabolomics Centre,10.1186/s12864-016-2458-z,,3.867,Service,jonas.gullberg@slu.se,1471-2164,Quantitative proteomics reveals protein profiles underlying major transitions in...,"Obudulu O, Bygdell J, ..., Wingsle G",BMC GENOMICS,26887814
248,Metabolomics,Swedish Metabolomics Centre,10.1289/EHP291,,8.443,Service,jonas.gullberg@slu.se,0091-6765,Neonatal Cord Blood Oxylipins and Exposure to Particulate Matter in the Early-Li...,"Martens DS, Gouveia S, ..., Nawrot TS",ENVIRON HEALTH PERSP,27814242
249,Metabolomics,Swedish Metabolomics Centre,10.1371/journal.pone.0141738,,3.057,Collaborative,jonas.gullberg@slu.se,1932-6203,Serum Trimethylamine-N-Oxide Is Strongly Related to Renal Function and Predicts ...,"Missailidis C, Hällqvist J, ..., Bergman P",PLOS ONE,26751065
250,Metabolomics,Swedish Metabolomics Centre,10.1371/journal.pone.0147670,,3.057,Service,jonas.gullberg@slu.se,1932-6203,Metabolites in Blood for Prediction of Bacteremic Sepsis in the Emergency Room,"Kauppi AM, Edin A, ..., Johansson A",PLOS ONE,26800189
251,Metabolomics,Swedish Metabolomics Centre,10.1371/journal.pone.0159384,,3.057,Service,jonas.gullberg@slu.se,1932-6203,Metabolic Profiling of Systemic Lupus Erythematosus and Comparison with Primary ...,"Bengtsson AA, Trygg J, ..., Lundstedt T",PLOS ONE,27441838
252,Metabolomics,Swedish Metabolomics Centre,10.2337/db15-1231,,8.784,Service,jonas.gullberg@slu.se,0012-1797 1939-327X,PGC-1α Coordinates Mitochondrial Respiratory Capacity and Muscular Fatty Acid Up...,"Mehlem A, Palombo I, ..., Falkevall A",DIABETES,26822083
253,Metabolomics,Swedish Metabolomics Centre,10.3359/fpls.2016.00932,,?,Service,jonas.gullberg@slu.se,,,,,27805003
254,Metabolomics,Swedish Metabolomics Centre,10.3389/fpls.2016.01611,,4.495,Service,jonas.gullberg@slu.se,1664-462X,The Arabidopsis TOR Kinase Specifically Regulates the Expression of Nuclear Gene...,"Dobrenel T, Mancera-Martínez E, ..., Meyer C",FRONT PLANT SCI,27877176
255,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1001/jamainternmed.2016.2925,,14,Service,martin.dahlo@scilifelab.uu.se,2168-6106,ω-3 Polyunsaturated Fatty Acid Biomarkers and Coronary Heart Disease,"Del Gobbo LC, Imamura F, ..., Mozaffarian D",JAMA INTERN MED,27357102
256,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1001/jamapsychiatry.2016.0129,,14.417,Service,martin.dahlo@scilifelab.uu.se,2168-622X,Evidence for Genetic Overlap Between Schizophrenia and Age at First Birth in Women,"Mehta D, Tropf FC, ..., Wu JQ",JAMA PSYCHIAT,27007234
257,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1002/ajmg.a.37387,,2.082,Service,martin.dahlo@scilifelab.uu.se,1552-4825,Pathogenenic variant in theCOL2A1gene is associated with Spondyloepiphyseal dysp...,"Hammarsjö A, Nordgren A, ..., Grigelioniene G",AM J MED GENET A,
258,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1002/art.39571,,6.009,Service,martin.dahlo@scilifelab.uu.se,2326-5191,Effect of PTPN22 Gene Variant R620W on Type I Interferon Production Stimulated b...,"Berggren O, Rönnblom L, Eloranta M",ARTHRITIS RHEUMATOL,
259,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1002/bies.201500079,,4.725,Service,martin.dahlo@scilifelab.uu.se,0265-9247,Adaptive radiation of Darwin's finches revisited using whole genome sequencing,"Almén MS, Lamichhaney S, ..., Andersson L",BIOESSAYS,26606649
260,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1002/ecy.1518,,4.733,Service,martin.dahlo@scilifelab.uu.se,0012-9658,"Effects of multiple dimensions of bacterial diversity on functioning, stability ...","Roger F, Bertilsson S, ..., Gamfeldt L",ECOLOGY,27859115
261,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1002/humu.23034,,5.089,Service,martin.dahlo@scilifelab.uu.se,1059-7794,A Role for the Chromatin-Remodeling FactorBAZ1Ain Neurodevelopment,"Zaghlool A, Halvardson J, ..., Feuk L",HUM MUTAT,27328812
262,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1002/humu.23146,,5.089,Service,martin.dahlo@scilifelab.uu.se,1059-7794,Whole-Genome Sequencing of Cytogenetically Balanced Chromosome Translocations Id...,"Nilsson D, Pettersson M, ..., Lindstrand A",HUM MUTAT,27862604
263,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1002/jbmr.2834,,5.622,Service,martin.dahlo@scilifelab.uu.se,0884-0431,Spondyloocular Syndrome: Novel Mutations inXYLT2Gene and Expansion of the Phenot...,"Taylan F, Costantini A, ..., Mäkitie O",J BONE MINER RES,26987875
264,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1002/pbc.26251,,2.634,Service,martin.dahlo@scilifelab.uu.se,1545-5009,DNA methylation profiling of pediatric B-cell lymphoblastic leukemia with KMT2A ...,"Bergmann AK, Castellano G, ..., Siebert R",PEDIATR BLOOD CANCER,27786413
265,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1007/s00125-016-4041-1,,6.206,Service,martin.dahlo@scilifelab.uu.se,0012-186X 1432-0428,Non-targeted metabolomics combined with genetic analyses identifies bile acid sy...,"Fall T, Salihovic S, ..., Lind L",DIABETOLOGIA,
266,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1007/s00204-016-1879-4,,6.637,Service,martin.dahlo@scilifelab.uu.se,0340-5761 1432-0738,Transcriptomics and methylomics of CD4-positive T cells in arsenic-exposed women,"Engström K, Wojdacz TK, ..., Broberg K",ARCH TOXICOL,27838757
267,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1007/s00439-016-1654-x,,5.138,Service,martin.dahlo@scilifelab.uu.se,0340-6717 1432-1203,Allele-specific transcription factor binding to common and rare variants associa...,"Cavalli M, Pan G, ..., Wadelius C",HUM GENET,
268,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1007/s00439-016-1729-8,,5.138,Service,martin.dahlo@scilifelab.uu.se,0340-6717 1432-1203,The disappearing San of southeastern Africa and their genetic affinities,"Schlebusch CM, Prins F, ..., Soodyall H",HUM GENET,27651137
269,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1007/s00439-016-1743-x,,5.138,Service,martin.dahlo@scilifelab.uu.se,0340-6717 1432-1203,Identification of new TRIP12 variants and detailed clinical evaluation of indivi...,"Bramswig NC, Lüdecke H, ..., Wieczorek D",HUM GENET,27848077
270,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1007/s00592-015-0811-3,,3.074,Service,martin.dahlo@scilifelab.uu.se,0940-5429 1432-5233,GPR44 is a pancreatic protein restricted to the human beta cell,"Hellström-Lindahl E, Danielsson A, ..., Eriksson O",ACTA DIABETOL,26467464
271,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1007/s00792-016-0882-2,,2.346,Service,martin.dahlo@scilifelab.uu.se,1431-0651 1433-4909,Acidithiobacillus ferrivorans SS3 presents little RNA transcript response relat...,"Christel S, Fridlund J, ..., Dopson M",EXTREMOPHILES,
272,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1007/s10519-015-9735-5,,3.268,Service,martin.dahlo@scilifelab.uu.se,0001-8244 1573-3297,Meta-analysis of Genome-Wide Association Studies for Extraversion: Findings from...,"van den Berg SM, de Moor MHM, ..., Boomsma DI",BEHAV GENET,
273,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1007/s10519-015-9736-4,,3.268,Service,martin.dahlo@scilifelab.uu.se,0001-8244 1573-3297,G×E Interaction Influences Trajectories of Hand Grip Strength,"Petersen I, Pedersen NL, ..., Reynolds C",BEHAV GENET,26318288
274,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1007/s10519-015-9761-3,,3.268,Service,martin.dahlo@scilifelab.uu.se,0001-8244 1573-3297,"Gene–Environment Interplay in Physical, Psychological, and Cognitive Domains in ...","Reynolds CA, Gatz M, ..., Pedersen NL",BEHAV GENET,26538244
275,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1007/s11060-016-2066-4,,2.754,Service,martin.dahlo@scilifelab.uu.se,0167-594X 1573-7373,"Genetic risk variants in the CDKN2A/B, RTEL1 and EGFR genes are associated with ...","Ghasimi S, Wibom C, ..., Melin B",J NEURO-ONCOL,26839018
276,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1007/s11557-016-1199-3,,1.572,Service,martin.dahlo@scilifelab.uu.se,1617-416X 1861-8952,Scolytus multistriatus associated with Dutch elm disease on the island of Gotlan...,"Menkis A, Östbrant I, ..., Vasaitis R",MYCOL PROG,
277,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1007/s11695-016-2072-9,,3.346,Service,martin.dahlo@scilifelab.uu.se,0960-8923 1708-0428,A Genetic Risk Score Is Associated with Weight Loss Following Roux-en Y Gastric ...,"Bandstein M, Voisin S, ..., Schiöth HB",OBES SURG,26832135
278,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1016/j.ajhg.2016.05.014,,10.794,Service,martin.dahlo@scilifelab.uu.se,0002-9297,Mosaic Loss of Chromosome Y in Blood Is Associated with Alzheimer Disease,"Dumanski JP, Lambert J, ..., Forsberg LA",AM J HUM GENET,27231129
279,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1016/j.ajhg.2016.07.012,,10.794,Service,martin.dahlo@scilifelab.uu.se,0002-9297,Trans-ethnic Fine Mapping Highlights Kidney-Function Genes Linked to Salt Sensit...,"Mahajan A, Rodan AR, ..., Franceschini N",AM J HUM GENET,27588450
280,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1016/j.antiviral.2015.12.005,,4.909,Service,martin.dahlo@scilifelab.uu.se,0166-3542,Analysis of hepatitis C NS5A resistance associated polymorphisms using ultra dee...,"Bergfors A, Leenheer D, ..., Lennerstrand J",ANTIVIR RES,26707078
281,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1016/j.biopsych.2016.05.010,,11.212,Service,martin.dahlo@scilifelab.uu.se,0006-3223,Genome-wide association for major depression through age at onset stratification,"Power RA, Tansey KE, ..., Lewis CM",BIOL PSYCHIAT,27519822
282,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1016/j.cell.2016.09.027,,28.71,Service,martin.dahlo@scilifelab.uu.se,0092-8674,"Molecular Diversity of Midbrain Development in Mouse, Human, and Stem Cells","La Manno G, Gyllborg D, ..., Linnarsson S",CELL,27716510
283,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1016/j.celrep.2016.07.070,,7.87,Service,martin.dahlo@scilifelab.uu.se,2211-1247,"The Adipose Transcriptional Response to Insulin Is Determined by Obesity, Not In...","Rydén M, Hrydziuszko O, ..., Arner P",CELL REP,27545890
284,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1016/j.cub.2015.12.019,,8.983,Service,martin.dahlo@scilifelab.uu.se,0960-9822,Genomic Evidence Establishes Anatolia as the Source of the European Neolithic Ge...,"Omrak A, Günther T, ..., Götherström A",CURR BIOL,26748850
285,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1016/j.cub.2016.07.057,,8.983,Service,martin.dahlo@scilifelab.uu.se,0960-9822,The Demographic Development of the First Farmers in Anatolia,"Kılınç GM, Omrak A, ..., Götherström A",CURR BIOL,27498567
286,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1016/j.cyto.2016.01.007,,2.94,Service,martin.dahlo@scilifelab.uu.se,1043-4666,Genetic loci on chromosome 5 are associated with circulating levels of interleuk...,"McLeod O, Silveira A, ..., Strawbridge RJ",CYTOKINE,26821299
287,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1016/j.dib.2016.06.053,,1.43,Service,martin.dahlo@scilifelab.uu.se,2352-3409,Data on the expression of cellular lncRNAs in human adenovirus infected cells,"Chen M, Zhao H, ..., Pettersson U",,27547808
288,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1016/j.ecss.2016.06.016,,2.335,Service,martin.dahlo@scilifelab.uu.se,0272-7714,Regional genetic differentiation in the blue mussel from the Baltic Sea area,"Larsson J, Lind E, ..., Lönn M",ESTUAR COAST SHELF S,
289,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1016/j.ejpn.2016.01.009,,1.923,Service,martin.dahlo@scilifelab.uu.se,1090-3798,Biotin and Thiamine Responsive Basal Ganglia Disease – A vital differential diag...,"Ygberg S, Naess K, ..., Wickström R",EUR J PAEDIATR NEURO,26975589
290,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1016/j.envint.2016.11.010,,5.929,Service,martin.dahlo@scilifelab.uu.se,0160-4120,Genetic and methylation variation in the CYP2B6 gene is related to circulating p...,"Lind L, Ng E, ..., Lind PM",ENVIRON INT,27839851
291,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1016/j.foreco.2016.08.006,,2.826,Service,martin.dahlo@scilifelab.uu.se,0378-1127,Long-term effects of tree harvesting on ectomycorrhizal fungal communities in bo...,"Varenius K, Kårén O, ..., Dahlberg A",FOREST ECOL MANAG,
