National/ Regional,Platform,Facility,Authors,Title of publication,Journal,Volume,Issue,Pages y-x,Year of publication,"Co-publication, academy - industry, (yes/no)",Journal Impact factor ,
National,Chemical Biology Consortium Sweden,Laboratories for Chemical Biology Umeå (LCBU),"Ken Keefover-Ringa, Marcus Carlsson, Benedicte Riber Albrectsen.",2′-(Z)-Cinnamoylsalicortin: A novel salicinoid isolated from Populus tremula,Phytochem Lett,7,,212–216,2014,no,1.542,
National,Chemical Biology Consortium Sweden,The Laboratories for Chemical Biology at Karolinska Institutet (LCBKI),"D Niegowski, T Kleinschmidt, S Ahmad, A Aziz Qureshi, M Mårback, A Rinaldo-Matthis, JZ Haeggström.",Structure and inhibition of mouse leukotriene C4 synthase,Plos One,3,,e96763,2014,yes,3.534,24810165
National,Chemical Biology Consortium Sweden,Uppsala Drug Optimization and Pharmaceutical Profiling (UDOPP),"Fagerberg JH, Tsinman O, Sun N, Tsinman K, Avdeef A and Bergström CAS. ",Dissolution Rate and Apparent Solubility of Poorly Soluble Compounds in Biorelevant Dissolution Media. ,Mol Pharmaceut,7,,1419-1430,2010,,5.4,20507160
National,Chemical Biology Consortium Sweden,Uppsala Drug Optimization and Pharmaceutical Profiling (UDOPP),"Zaki N, Artursson P and Bergström CAS.", A Modified Physiological BCS for Prediction of Intestinal Absorption in Drug Discovery. ,Mol Pharmaceut,7,5,1478-1487,2010,,5.4,20734997
National,Chemical Biology Consortium Sweden,Uppsala Drug Optimization and Pharmaceutical Profiling (UDOPP),"Lazorova, L, Hubatsch, I, Ekegren, J.K., Gising, J, Nakai, D, Zaki, N.M., Bergström, CAS, Norinder, U, Larhed, M, Artursson, P",Structural features determining the intestinal epithelial permeability and efflux of novel HIV-1 protease inhibitors,"Journal Of Pharmacological Sciences 100 (9), 3763-72, 2011",100,9,3763-72,2011,,2.082,21491458
National,Chemical Biology Consortium Sweden,Uppsala Drug Optimization and Pharmaceutical Profiling (UDOPP),"Di, L., Artursson, P., Avdeef, A., Ecker, G.F., Faller, B., Fischer, H., Kansy, M., Krämer, S., Lennernäs, H., Sugano, K",Evidence-based approach to assess passive diffusion and carrier-mediated drug transport,Drug Discov Today 2012 Aug;17(15-16):905-12,17,15-16,905-12,2012,,6.551,22507594
National,Chemical Biology Consortium Sweden,Uppsala Drug Optimization and Pharmaceutical Profiling (UDOPP),"Fagerberg JH, Al-Tikriti Y, Ragnarsson G, Bergström CAS. ",Ethanol Effects on Apparent Solubility of Poorly Soluble Drugs in Simulated Intestinal Fluid. ,"Mol Pharmaceut, 2012 Jul 2;9(7):1942-52",9,7,1942-52,2012,,4.57,22651218
National,Chemical Biology Consortium Sweden,Uppsala Drug Optimization and Pharmaceutical Profiling (UDOPP),"Karlgren M, Ahlin G, Bergström C.A., Svensson R, Palm J, Artursson P",In Vitro and In Silico Strategies to Identify OATP1B1 Inhibitors and Predict Clinical Drug-Drug Interactions,Pharm Res-DORDR 2012 Feb;29(2):411-26,29,2,411-26,2012,,4.742,21861202
National,Chemical Biology Consortium Sweden,Uppsala Drug Optimization and Pharmaceutical Profiling (UDOPP),"Bergström CAS, Charman SA, Nicolazzo JA. ",Computational prediction of CNS drug exposure based on a novel in vivo dataset. ,"Pharm Res-DORDR, 2012 Nov;29(11):3131-42 ",29,11,3131-42,2012,,4.742,22744815
National,Chemical Biology Consortium Sweden,Uppsala Drug Optimization and Pharmaceutical Profiling (UDOPP),"Lampa, Anna; Bergman, Sara; Svahn Gustafsson, Sofia; Alogheli, Hiba; Åkerblom, Eva; Lindeberg, Gunnar; Svensson, Richard; Artursson, Per; Danielson, U. Helena; Karlén, Anders; Sandström, Anja",Novel Peptidomimetic Hepatitis C Virus NS3/4A Protease Inhibitors Spanning the P2-P1´ Region,ACS Med Chem Lett,5,3,249-254,2013,,3.073,24900813
National,Chemical Biology Consortium Sweden,Uppsala Drug Optimization and Pharmaceutical Profiling (UDOPP),"Vodnala S, Lundbäck T, Sjöberg B, Svensson R, Rottenberg ME, Hammarström LGJ",In vitro and In vivo Activity of 2-Aminopyrazines/2-Aminopyridines in Experimental Models of Human African Trypanosomiasis,Antimicrobial Agents Ch,57,2,1012-101,2013,,4.451,
National,Chemical Biology Consortium Sweden,Uppsala Drug Optimization and Pharmaceutical Profiling (UDOPP),"Matsson P, Artursson P",Computational prospecting for drug-transporter interactions,Clinical Pharmacol Ther,94,1,30-32,2013,,7.39,23588306
National,Chemical Biology Consortium Sweden,Uppsala Drug Optimization and Pharmaceutical Profiling (UDOPP),"Fransson R, Sköld C, Kratz JM, Svensson R, Artursson P, Nyberg F, Hallberg M, Sandström A",Constrained H-Phe-Phe-NH2 Analogues with High Affinity to the Substance P 1-7 Binding Site and with Improved Metabolic Stability and Cell Permeability,J Med Chem,56,12,4953-65,2013,,5.48,23735006
National,Chemical Biology Consortium Sweden,Uppsala Drug Optimization and Pharmaceutical Profiling (UDOPP),"Karlgren, M., Vildhede, A., Norinder, U., Wisniewski, J., Lai, Yurong., Haglund, U. and Artursson, P.",Classification of inhibitors of liver specific organic anion transporting polypeptides – influence of protein expression on drug-drug interactions,J Med Chem,55,10,4740-63,2013,,5.48,22541068
National,Chemical Biology Consortium Sweden,Uppsala Drug Optimization and Pharmaceutical Profiling (UDOPP),"Tehler U, Fagerberg JH, Svensson R, Larhed M, Artursson P, Bergström CA",Optimizing solubility and permeability of a biopharmaceutics classification system (BCS) class 4 antibiotic drug using lipophilic fragments disturbing the crystal lattice,J Med Chem,56,6,2690-2694,2013,,5.48,23432334
National,Chemical Biology Consortium Sweden,Uppsala Drug Optimization and Pharmaceutical Profiling (UDOPP),"Vodnala SK, Lundbäck T, Yeheskieli E, Sjöberg B, Gustavsson A-L, Svensson R, Olivera GC, Eze AA, de Koning HP, Hammarström LGJ, and Rottenberg, ME",Structure-Activity Relationships of Synthetic Cordycepin Analogues as Experimental Therapeutics for African Trypanosomiasis,J Med Chem,56,24,9861-9873,2013,,5.48,24283924
National,Chemical Biology Consortium Sweden,Uppsala Drug Optimization and Pharmaceutical Profiling (UDOPP),"Warren DB, Bergström CAS, Benameur H, Porter CJ, Pouton CW",Evaluation of the structural determinants of polymeric precipitation inhibitors using solvent shift methods and principle component analysis. ,Mol Pharmaceut,10,8,2823-48,2013,,4.787,23631696
National,Chemical Biology Consortium Sweden,Uppsala Drug Optimization and Pharmaceutical Profiling (UDOPP),"Mateus A, Matsson P, Artursson P",Rapid measurement of intracellular unbound drug concentrations,Mol Pharmacol,10,6,2467-78,2013,,4.12,23631740
National,Chemical Biology Consortium Sweden,Uppsala Drug Optimization and Pharmaceutical Profiling (UDOPP),"Matsson EM, Eriksson UG, Palm JE, Artursson P, Karlgren M, Lazorova L, Brännström M, Ekdahl A, Dunér K, Knutson L, Johansson S, Schützer KM,Lennernäs H.",Combined in vitro-in vivo approach to assess the hepatobiliary disposition of a novel oral thrombin inhibitor.,Mol Pharmacol,10,11,4252-62,2013,,4.12,24079718
National,Chemical Biology Consortium Sweden,Uppsala Drug Optimization and Pharmaceutical Profiling (UDOPP),"Neve EP, Artursson P, Ingelman-Sundberg M, Karlgren M","An integrated in vitro model for simultaneous assessment of drug uptake, metabolism, and efflux",Mol Pharmacol,10,8,3152-63,2013,,4.12,23822632
National,Chemical Biology Consortium Sweden,Uppsala Drug Optimization and Pharmaceutical Profiling (UDOPP),"Persson LC, Charman WN, Porter CJH, Bergström CAS. ",Computational prediction of drug solubility in lipid based formulation excipients. ,Pharm Res-DORDR,31,12,3225-37,2013,,3.952,23771564
National,Chemical Biology Consortium Sweden,Uppsala Drug Optimization and Pharmaceutical Profiling (UDOPP),"Prieto P, Kinsner-Ovaskainen A, Stanzel S, Albella B, Artursson P, Campillo N, Cecchelli R, Cerrato L, Díaz L, Di Consiglio E, Guerra A, Gombau L, Herrera G, Honegger P, Landry C, O'Connor JE, Páez JA, Quintas G, Svensson R, Turco L, Zurich MG, Zurbano MJ, Kopp-Schneider A",The value of selected in vitro and in silico methods to predict acute oral toxicity in a regulatory context: results from the European Project ACuteTox,Toxicol In Vitro,27,4,1357-76,2013,,3.207,22922246
National,Chemical Biology Consortium Sweden,Uppsala Drug Optimization and Pharmaceutical Profiling (UDOPP),"Prieto, P., Kinsner-Ovaskainen, A., Stanzel, S., Albella, B., Artursson, P., Campillo, N., Cecchelli, R., Cerrato, L., Diaz, L., Di Consiglio, E., Gombau, L., Herrera, G., Honegger, P., Landry, C., O´Conner, J.E., Quintas, G., Svensson, R., Turco, L., Zurich, M-G., Zurbano, M.J., Kopp-Schneider, A",The value of selected in vitro and in silico assays to predict acute oral toxicity in a regulatory context: results from the European Project ACuteTox,Toxicol In Vitro,27,4,1357-76,2013,,3.207,
National,Chemical Biology Consortium Sweden,Uppsala Drug Optimization and Pharmaceutical Profiling (UDOPP),"Jenny M. Pedersen, Pär Matsson, Christel A. S. Bergström, Janet Hoogstraate, Agneta Norén, Edward L. LeCluyse, and Per Artursson",Early Identification of Clinically Relevant Drug Interactions With the Human Bile Salt Export Pump (BSEP/ABCB11),Toxicol Sci,136,2,328-343,2013,,4.478,24014644
National,Chemical Biology Consortium Sweden,Uppsala Drug Optimization and Pharmaceutical Profiling (UDOPP),"Artursson P, Matsson P and Karlgren M",In vitro characterization of interactions with drug transporting proteins,"Transporters in Drug Discovery, Development and Use",7,,37-65,2013,,N/A,
National,Chemical Biology Consortium Sweden,Uppsala Drug Optimization and Pharmaceutical Profiling (UDOPP),"Lampa, Anna;  Alogheli, Hiba; Ehrenberg, Angelica; Åkerblom, Eva; Svensson, Richard; Artursson, Per; Danielson, U. Helena; Karlén, Anders; Sandström, Anja",Vinylated linear P2 pyrimidinyloxyphenylglycine based inhibitors of the HCV NS3/4A protease and corresponding macrocycles,Bioorgan Med Chem,22,23,6595–6615,2014,no,2.951,25456385
National,Chemical Biology Consortium Sweden,Uppsala Drug Optimization and Pharmaceutical Profiling (UDOPP),"Satish Srinivas Kitambi, Enrique M. Toledo, Dmitry Usoskin, Shimei Wee, Aditya Harisankar, Richard Svensson, Kristmundur Sigmundsson, Christina Kalderen, Mia Niklasson, Soumi Kundu, Sergi Aranda, Bengt Westermark, Lene Uhrbom, Michael Andäng, Peter Damberg, Sven Nelander, Ernest Arenas, Per Artursson, Julian Walfridsson, Karin Forsberg Nilsson, Lars G.J. Hammarström and Patrik Ernfors",Vulnerability of Glioblastoma Cells to Catastrophic Vacuolization and Death Induced by a Small Molecule,Cell,157,2,313-328,2014,,33.116,24656405
National,Chemical Biology Consortium Sweden,Uppsala Drug Optimization and Pharmaceutical Profiling (UDOPP),"Anna Vildhede, Maria Karlgren, Elin K. Svedberg, Jacek R. Wisniewski, Yurong Lai, Agneta Norén, and Per Artursson",Hepatic Uptake of Atorvastatin: Influence of Variability in Transporter Expression on Uptake Clearance and Drug-Drug Interactionss,Drug Metab Dispos,42,,1210-1218,2014,,3.334,24799396
National,Chemical Biology Consortium Sweden,Uppsala Drug Optimization and Pharmaceutical Profiling (UDOPP),"Gising J, Belfrage AK, Alogheli H, Ehrenberg A, Akerblom E, Svensson R, Artursson P, Karlén A, Danielson UH, Larhed M, Sandström A",Achiral Pyrazinone-Based Inhibitors of the Hepatitis C Virus NS3 Protease and Drug-Resistant Variants with Elongated Substituents Directed Toward the S2 Pocket,J Med Chem,57,5,1790-1801,2014,,5.48,23517538
National,Chemical Biology Consortium Sweden,Uppsala Drug Optimization and Pharmaceutical Profiling (UDOPP),"Mateus A, Matsson P, Artursson P",A high-throughput cell-based method to predict the unbound drug fraction in the brain.,J Med Chem,57,7,3005-3010,2014,,5.48,24601604
National,Chemical Biology Consortium Sweden,Uppsala Drug Optimization and Pharmaceutical Profiling (UDOPP),"Over B, McCarren P, Artursson P, Foley M, Giordanetto F, Grönberg G, Hilgendorf C, Lee MD 4th, Matsson P, Muncipinto G, Pellisson M, Perry MW, Svensson R, Duvall JR, Kihlberg J.",Impact of stereospecific intramolecular hydrogen bonding on cell permeability and physicochemical properties.,J Med Chem,57,6,2746-2754,2014,,5.48,24524242
National,Chemical Biology Consortium Sweden,Uppsala Drug Optimization and Pharmaceutical Profiling (UDOPP),"Helge Gad, Tobias Koolmeister, Ann-Sofie Jemth, Saeed Eshtad, Sylvain A. Jacques,Cecilia E. Ström, Linda M. Svensson, Niklas Schultz, Thomas Lundbäck, Berglind Osk Einarsdottir, Aljona Saleh, Camilla Göktürk, Pawel Baranczewski, Richard Svensson, Ronnie P.-A. Berntsson, Robert Gustafsson, Kia Strömberg, Kumar Sanjiv, Marie-Caroline Jacques-Cordonnier, Matthieu Desroses, Anna-Lena Gustavsson, Roger Olofsson, Fredrik Johansson, Evert J. Homan, Olga Loseva, Lars Bräutigam, Lars Johansson, Andreas Höglund, Anna Hagenkort, Therese Pham, Mikael Altun, Fabienne Z. Gaugaz, Svante Vikingsson, Bastiaan Evers, Martin Henriksson, Karl S. A. Vallin, Olov A. Wallner, Lars G. J. Hammarström, Elisee Wiita, Ingrid Almlöf, Christina Kalderén, Hanna Axelsson, Tatjana Djureinovic, Jordi Carreras Puigvert, Maria Häggblad, Fredrik Jeppsson, Ulf Martens, Cecilia Lundin, Bo Lundgren, Ingrid Granelli, Annika Jenmalm Jensen, Per Artursson, Jonas A. Nilsson, Pål Stenmark, Martin Scobie, Ulrika Warpman Berglund & Thomas Helleday",MTH1 inhibition eradicates cancer by preventing sanitation of the dNTP pool,Nature,508,,215-221,2014,,42.351,24695224
National,Clinical diagnostics,Clinical Biomarkers,"G. Tavoosidana, G. Ronquist¸ S. Darmanis, Yan J, L. Carlsson, D. Wu, T. Conze, P. Ek, A. Semjonow, A. Larsson, U. Landegren and M. Kamali-Moghaddam",A Multiple Recognition Assay Reveals Prostasomes as Promising Plasma Biomarkers for Prostate Cancer,P Natl Acad Sci USA,108,21,8809-14,2011,,9.681,
National,Clinical diagnostics,Clinical Biomarkers,"G.J. Gu, D. Wu, H. Lund, D. Sunnemark, A. Kvist, R. Milner, S. Eckersley, L Nilsson, K. Agerman, U. Landegren and M. Kamali‐Moghaddam","Elevated MARK2–dependent phosphorylation of tau in Alzheimer’s disease, analyzed via proximity ligation",J Alzheimers Dis,33,3,699-713,2013,,3.612,
National,Clinical diagnostics,Clinical Biomarkers,"G. J. Gu, H. Lund, D. Wu, A. Blokzijl, C. Classon, G. von Euler, U. Landegren, D. Sunnemark, M. Kamali-Moghaddam",Role of individual MARK isoforms in phosphorylation of tau at Ser262 in Alzheimer’s disease,Neuromol Med,15,3,458-69,2013,,3.885,
National,Clinical diagnostics,Clinical Biomarkers," Rattik S, Wigren M, Björkbacka H, Fredrikson GN, Hedblad B, Siegbahn A, Bengtsson E, Schiopu A, Edsfeldt A, Dunér P, Grufman H, Gonçalves I, Nilsson J.",High Plasma Levels of Heparin-Binding Epidermal Growth Factor Are Associated With a   More Stable Plaque Phenotype and Reduced Incidence of Coronary Events..,Arterioscl Throm Vas,Epub oct 30,,,2014,,5.533,25359857
National,Clinical diagnostics,Clinical Biomarkers,"Wallentin L, Hijazi Z, Andersson U, Alexander JH, De Caterina R, Hanna M, Horowitz JD, Hylek EM, Lopes RD, Asberg S, Granger CB, Siegbahn A; on behalf of the ARISTOTLE Investigators","Growth Differentiation Factor 15, a Marker of Oxidative Stress and Inflammation, for Risk Assessment in Patients with Atrial Fibrillation: Insights from the ARISTOTLE Trial. ",Circulation,Epub oct 7,,,2014,,14.948,25294786
National,Clinical diagnostics,Clinical Biomarkers,"Lena Kask, Anneli Jorsback, Maria Winkvist, Bo Ek, Jonas Bergquist and Agneta Siegbahn. ",Identification of novel downstream molecules of tissue factor activation by comparative proteomic analysis. ,J Proteome Res,13,2,477-88,2014,,5.001,24274763
National,Clinical diagnostics,Clinical Biomarkers,"Enroth S, Johansson A, Enroth SB, Gyllensten U",Strong effects of genetic and lifestyle factors on biomarker variation and use of personalized cutoffs.,Nat Commun,5,4684,doi: 10.1038/ncomms568,2014,,10.742,25147954
National,Clinical diagnostics,Clinical Biomarkers,"J. Yan, G.J. Gu, C. Jost, M. Hammond, A. Plückthun, U. Landegren and M. Kamali-Moghaddam",A universal approach to prepare reagents for DNA-assisted protein analysis,PLoS One,9(9):e108061,,doi: 10.1371/journal.pone.0108061,2014,,3.534,25233463
National,Clinical diagnostics,Clinical Biomarkers,"M. Hammond, J.P. Deslys, L. Wik, E. Commoy, T. Linné, U. Landegren, and M. Kamali-Moghaddam. ",Sensitive detection of aggregated prion protein by proximity ligation assay,Prion,8,3,PMID: 25247842 ,2014,,1.967,
National,Clinical diagnostics,Clinical Genomics,"Hofmeister1,2, Daniel Nilsson1,2,3,4, Alexandra Topa5, Britt-Marie Anderlid1,2,3, Fahimeh Darki 6, Hans Matsson7, Isabel Tapia Páez 7, Torkel Klingberg6, Lena Samuelsson5, Valtteri Wirta8, Francesco Vezzi9, Juha Kere7,10, Magnus Nordenskjöld1,2,3, Elisabeth Syk Lundberg1,2,3 and Anna Lindstrand1,2,3",Disruption of the CTNND2 gene causes reading problems and mild intellectual disability  ,J Medical Genetics,in press,,,,no,5.636,
National,Clinical diagnostics,Clinical sequencing ,,,,,,,,,,
National,Drug Discovery and Development,ADME of Therapeutics (UDOPP),"Fagerberg JH, Tsinman O, Sun N, Tsinman K, Avdeef A and Bergström CAS. ",Dissolution Rate and Apparent Solubility of Poorly Soluble Compounds in Biorelevant Dissolution Media. ,Mol Pharmaceut,7,,1419-1430,2010,,5.4,20507160
National,Drug Discovery and Development,ADME of Therapeutics (UDOPP),"Zaki N, Artursson P and Bergström CAS.", A Modified Physiological BCS for Prediction of Intestinal Absorption in Drug Discovery. ,Mol Pharmaceut,7,5,1478-1487,2010,,5.4,20734997
National,Drug Discovery and Development,ADME of Therapeutics (UDOPP),"Lazorova, L, Hubatsch, I, Ekegren, J.K., Gising, J, Nakai, D, Zaki, N.M., Bergström, CAS, Norinder, U, Larhed, M, Artursson, P",Structural features determining the intestinal epithelial permeability and efflux of novel HIV-1 protease inhibitors,"J Pharmacol Sci 100 (9), 3763-72, 2011",100,9,3763-72,2011,,2.082,21491458
National,Drug Discovery and Development,ADME of Therapeutics (UDOPP),"Di, L., Artursson, P., Avdeef, A., Ecker, G.F., Faller, B., Fischer, H., Kansy, M., Krämer, S., Lennernäs, H., Sugano, K",Evidence-based approach to assess passive diffusion and carrier-mediated drug transport,Drug Discov Today 2012 Aug;17(15-16):905-12,17,15-16,905-12,2012,,6.551,22507594
National,Drug Discovery and Development,ADME of Therapeutics (UDOPP),"Fagerberg JH, Al-Tikriti Y, Ragnarsson G, Bergström CAS. ",Ethanol Effects on Apparent Solubility of Poorly Soluble Drugs in Simulated Intestinal Fluid. ,"Mol Pharmaceut, 2012 Jul 2;9(7):1942-52",9,7,1942-52,2012,,4.57,22651218
National,Drug Discovery and Development,ADME of Therapeutics (UDOPP),"Karlgren M, Ahlin G, Bergström C.A., Svensson R, Palm J, Artursson P",In Vitro and In Silico Strategies to Identify OATP1B1 Inhibitors and Predict Clinical Drug-Drug Interactions,Pharm Res-DORDR 2012 Feb;29(2):411-26,29,2,411-26,2012,,4.742,21861202
National,Drug Discovery and Development,ADME of Therapeutics (UDOPP),"Bergström CAS, Charman SA, Nicolazzo JA. ",Computational prediction of CNS drug exposure based on a novel in vivo dataset. ,"Pharm Res-DORDR, 2012 Nov;29(11):3131-42 ",29,11,3131-42,2012,,4.742,22744815
National,Drug Discovery and Development,ADME of Therapeutics (UDOPP),"Lampa, Anna; Bergman, Sara; Svahn Gustafsson, Sofia; Alogheli, Hiba; Åkerblom, Eva; Lindeberg, Gunnar; Svensson, Richard; Artursson, Per; Danielson, U. Helena; Karlén, Anders; Sandström, Anja",Novel Peptidomimetic Hepatitis C Virus NS3/4A Protease Inhibitors Spanning the P2-P1´ Region,ACS Med Chem Lett,5,3,249-254,2013,,3.073,24900813
National,Drug Discovery and Development,ADME of Therapeutics (UDOPP),"Vodnala S, Lundbäck T, Sjöberg B, Svensson R, Rottenberg ME, Hammarström LGJ",In vitro and In vivo Activity of 2-Aminopyrazines/2-Aminopyridines in Experimental Models of Human African Trypanosomiasis,Antimicrobial Agents Ch,57,2,1012-101,2013,,4.451,
National,Drug Discovery and Development,ADME of Therapeutics (UDOPP),"Matsson P, Artursson P",Computational prospecting for drug-transporter interactions,Clinical Pharmacol Ther,94,1,30-32,2013,,7.39,23588306
National,Drug Discovery and Development,ADME of Therapeutics (UDOPP),"Fransson R, Sköld C, Kratz JM, Svensson R, Artursson P, Nyberg F, Hallberg M, Sandström A",Constrained H-Phe-Phe-NH2 Analogues with High Affinity to the Substance P 1-7 Binding Site and with Improved Metabolic Stability and Cell Permeability,J Med Chem,56,12,4953-65,2013,,5.48,23735006
National,Drug Discovery and Development,ADME of Therapeutics (UDOPP),"Karlgren, M., Vildhede, A., Norinder, U., Wisniewski, J., Lai, Yurong., Haglund, U. and Artursson, P.",Classification of inhibitors of liver specific organic anion transporting polypeptides – influence of protein expression on drug-drug interactions,J Med Chem,55,10,4740-63,2013,,5.48,22541068
National,Drug Discovery and Development,ADME of Therapeutics (UDOPP),"Tehler U, Fagerberg JH, Svensson R, Larhed M, Artursson P, Bergström CA",Optimizing solubility and permeability of a biopharmaceutics classification system (BCS) class 4 antibiotic drug using lipophilic fragments disturbing the crystal lattice,J Med Chem,56,6,2690-2694,2013,,5.48,23432334
National,Drug Discovery and Development,ADME of Therapeutics (UDOPP),"Vodnala SK, Lundbäck T, Yeheskieli E, Sjöberg B, Gustavsson A-L, Svensson R, Olivera GC, Eze AA, de Koning HP, Hammarström LGJ, and Rottenberg, ME",Structure-Activity Relationships of Synthetic Cordycepin Analogues as Experimental Therapeutics for African Trypanosomiasis,J Med Chem,56,24,9861-9873,2013,,5.48,24283924
National,Drug Discovery and Development,ADME of Therapeutics (UDOPP),"Warren DB, Bergström CAS, Benameur H, Porter CJ, Pouton CW",Evaluation of the structural determinants of polymeric precipitation inhibitors using solvent shift methods and principle component analysis. ,Mol Pharmaceut,10,8,2823-48,2013,,4.787,23631696
National,Drug Discovery and Development,ADME of Therapeutics (UDOPP),"Mateus A, Matsson P, Artursson P",Rapid measurement of intracellular unbound drug concentrations,Mol Pharmacol,10,6,2467-78,2013,,4.12,23631740
National,Drug Discovery and Development,ADME of Therapeutics (UDOPP),"Matsson EM, Eriksson UG, Palm JE, Artursson P, Karlgren M, Lazorova L, Brännström M, Ekdahl A, Dunér K, Knutson L, Johansson S, Schützer KM,Lennernäs H.",Combined in vitro-in vivo approach to assess the hepatobiliary disposition of a novel oral thrombin inhibitor.,Mol Pharmacol,10,11,4252-62,2013,,4.12,24079718
National,Drug Discovery and Development,ADME of Therapeutics (UDOPP),"Neve EP, Artursson P, Ingelman-Sundberg M, Karlgren M","An integrated in vitro model for simultaneous assessment of drug uptake, metabolism, and efflux",Mol Pharmacol,10,8,3152-63,2013,,4.12,23822632
National,Drug Discovery and Development,ADME of Therapeutics (UDOPP),"Persson LC, Charman WN, Porter CJH, Bergström CAS. ",Computational prediction of drug solubility in lipid based formulation excipients. ,Pharm Res-DORDR,31,12,3225-37,2013,,3.952,23771564
National,Drug Discovery and Development,ADME of Therapeutics (UDOPP),"Prieto P, Kinsner-Ovaskainen A, Stanzel S, Albella B, Artursson P, Campillo N, Cecchelli R, Cerrato L, Díaz L, Di Consiglio E, Guerra A, Gombau L, Herrera G, Honegger P, Landry C, O'Connor JE, Páez JA, Quintas G, Svensson R, Turco L, Zurich MG, Zurbano MJ, Kopp-Schneider A",The value of selected in vitro and in silico methods to predict acute oral toxicity in a regulatory context: results from the European Project ACuteTox,Toxicol In Vitro,27,4,1357-76,2013,,3.207,22922246
National,Drug Discovery and Development,ADME of Therapeutics (UDOPP),"Prieto, P., Kinsner-Ovaskainen, A., Stanzel, S., Albella, B., Artursson, P., Campillo, N., Cecchelli, R., Cerrato, L., Diaz, L., Di Consiglio, E., Gombau, L., Herrera, G., Honegger, P., Landry, C., O´Conner, J.E., Quintas, G., Svensson, R., Turco, L., Zurich, M-G., Zurbano, M.J., Kopp-Schneider, A",The value of selected in vitro and in silico assays to predict acute oral toxicity in a regulatory context: results from the European Project ACuteTox,Toxicol In Vitro,27,4,1357-76,2013,,3.207,
National,Drug Discovery and Development,ADME of Therapeutics (UDOPP),"Jenny M. Pedersen, Pär Matsson, Christel A. S. Bergström, Janet Hoogstraate, Agneta Norén, Edward L. LeCluyse, and Per Artursson",Early Identification of Clinically Relevant Drug Interactions With the Human Bile Salt Export Pump (BSEP/ABCB11),Toxicol Sci,136,2,328-343,2013,,4.478,24014644
National,Drug Discovery and Development,ADME of Therapeutics (UDOPP),"Artursson P, Matsson P and Karlgren M",In vitro characterization of interactions with drug transporting proteins,"Transporters in Drug Discovery, Development and Use",7,,37-65,2013,,N/A,
National,Drug Discovery and Development,ADME of Therapeutics (UDOPP),"Lampa, Anna;  Alogheli, Hiba; Ehrenberg, Angelica; Åkerblom, Eva; Svensson, Richard; Artursson, Per; Danielson, U. Helena; Karlén, Anders; Sandström, Anja",Vinylated linear P2 pyrimidinyloxyphenylglycine based inhibitors of the HCV NS3/4A protease and corresponding macrocycles,Bioorgan Med Chem,22,23,6595–6615,2014,no,2.951,25456385
National,Drug Discovery and Development,ADME of Therapeutics (UDOPP),"Satish Srinivas Kitambi, Enrique M. Toledo, Dmitry Usoskin, Shimei Wee, Aditya Harisankar, Richard Svensson, Kristmundur Sigmundsson, Christina Kalderen, Mia Niklasson, Soumi Kundu, Sergi Aranda, Bengt Westermark, Lene Uhrbom, Michael Andäng, Peter Damberg, Sven Nelander, Ernest Arenas, Per Artursson, Julian Walfridsson, Karin Forsberg Nilsson, Lars G.J. Hammarström and Patrik Ernfors",Vulnerability of Glioblastoma Cells to Catastrophic Vacuolization and Death Induced by a Small Molecule,Cell,157,2,313-328,2014,,33.116,24656405
National,Drug Discovery and Development,ADME of Therapeutics (UDOPP),"Anna Vildhede, Maria Karlgren, Elin K. Svedberg, Jacek R. Wisniewski, Yurong Lai, Agneta Norén, and Per Artursson",Hepatic Uptake of Atorvastatin: Influence of Variability in Transporter Expression on Uptake Clearance and Drug-Drug Interactionss,Drug Metab Dispos,42,,1210-1218,2014,,3.334,24799396
National,Drug Discovery and Development,ADME of Therapeutics (UDOPP),"Gising J, Belfrage AK, Alogheli H, Ehrenberg A, Akerblom E, Svensson R, Artursson P, Karlén A, Danielson UH, Larhed M, Sandström A",Achiral Pyrazinone-Based Inhibitors of the Hepatitis C Virus NS3 Protease and Drug-Resistant Variants with Elongated Substituents Directed Toward the S2 Pocket,J Med Chem,57,5,1790-1801,2014,,5.48,23517538
National,Drug Discovery and Development,ADME of Therapeutics (UDOPP),"Mateus A, Matsson P, Artursson P",A high-throughput cell-based method to predict the unbound drug fraction in the brain.,J Med Chem,57,7,3005-3010,2014,,5.48,24601604
National,Drug Discovery and Development,ADME of Therapeutics (UDOPP),"Over B, McCarren P, Artursson P, Foley M, Giordanetto F, Grönberg G, Hilgendorf C, Lee MD 4th, Matsson P, Muncipinto G, Pellisson M, Perry MW, Svensson R, Duvall JR, Kihlberg J.",Impact of stereospecific intramolecular hydrogen bonding on cell permeability and physicochemical properties.,J Med Chem,57,6,2746-2754,2014,,5.48,24524242
